,Date,Week,Profit,Profit(W),Profit(L),NumTrade,NumTrade(W),NumTrade(L),WinRate,ProfAve,ProfAve(W),ProfAve(L),Profit(Max),NumTrade(Max),Date(Datetime),Before type,Expansion type,After type,Expn lineage
0,2010.01.01,Fri,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-999.0,99999,2010-01-01,,,,-
1,2010.01.04,Mon,24.4,24.4,0.0,1,1,0,1.0,24.4,24.4,0.0,24.4,0,2010-01-04,range,expansion,squeeze,expansion
2,2010.01.05,Tue,-3.299999999999997,55.900000000000006,-59.2,6,2,4,0.3333333333333333,-0.5499999999999995,27.950000000000003,-14.8,43.6,6,2010-01-05,squeeze,fake inverse expn,squeeze,expansion
3,2010.01.06,Wed,-23.5,37.2,-60.7,5,1,4,0.2,-4.7,37.2,-15.175,37.2,11,2010-01-06,squeeze,expansion,range,expansion
4,2010.01.07,Thu,-6.100000000000001,40.3,-46.4,4,2,2,0.5,-1.5250000000000004,20.15,-23.2,38.8,14,2010-01-07,range,expansion,squeeze,expansion
5,2010.01.08,Fri,98.30000000000001,153.9,-55.6,8,1,7,0.125,12.287500000000001,153.9,-7.942857142857143,153.9,23,2010-01-08,squeeze,range expn,squeeze,expansion
6,2010.01.11,Mon,-30.9,0.0,-30.9,3,0,3,0.0,-10.299999999999999,0.0,-10.299999999999999,-5.3,24,2010-01-11,squeeze,range,range,range
7,2010.01.12,Tue,-79.2,0.0,-79.2,5,0,5,0.0,-15.84,0.0,-15.84,-14.5,30,2010-01-12,range,range,range,range
8,2010.01.13,Wed,-23.4,38.0,-61.4,5,1,4,0.2,-4.68,38.0,-15.35,38.0,36,2010-01-13,range,expn range,squeeze,expn range
9,2010.01.14,Thu,-31.2,15.8,-47.0,4,1,3,0.25,-7.8,15.8,-15.666666666666666,15.8,40,2010-01-14,squeeze,expn range expn,range,expn range
10,2010.01.15,Fri,16.1,16.1,0.0,1,1,0,1.0,16.1,16.1,0.0,16.1,41,2010-01-15,range,expansion,range,expansion
11,2010.01.18,Mon,-68.00000000000001,5.4,-73.4,7,1,6,0.14285714285714285,-9.714285714285717,5.4,-12.233333333333334,5.4,47,2010-01-18,range,range,squeeze,range
12,2010.01.19,Tue,60.49999999999999,83.5,-23.0,5,2,3,0.4,12.099999999999998,41.75,-7.666666666666667,83.1,53,2010-01-19,squeeze,expn expn,range,expansion
13,2010.01.20,Wed,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,-999.0,99999,2010-01-20,range,expansion,squeeze,expansion
14,2010.01.21,Thu,-95.3,22.2,-117.50000000000001,6,1,5,0.16666666666666666,-15.883333333333333,22.2,-23.500000000000004,22.2,55,2010-01-21,squeeze,expn inverse range,trend,expn range
15,2010.01.22,Fri,-28.200000000000003,0.0,-28.200000000000003,2,0,2,0.0,-14.100000000000001,0.0,-14.100000000000001,-6.4,61,2010-01-22,trend,range,squeeze,range
16,2010.01.25,Mon,-87.4,0.0,-87.4,7,0,7,0.0,-12.485714285714286,0.0,-12.485714285714286,-8.6,64,2010-01-25,squeeze,fake inverse expn,range,expansion
17,2010.01.26,Tue,7.600000000000003,44.9,-37.3,4,1,3,0.25,1.9000000000000008,44.9,-12.433333333333332,44.9,70,2010-01-26,range,range,squeeze,range
18,2010.01.27,Wed,-1.0999999999999996,25.5,-26.6,4,2,2,0.5,-0.2749999999999999,12.75,-13.3,13.7,76,2010-01-27,squeeze,fake expn range,range,expn range
19,2010.01.28,Thu,-32.699999999999996,43.6,-76.3,6,2,4,0.3333333333333333,-5.449999999999999,21.8,-19.075,26.5,82,2010-01-28,range,expn expn,range,expansion
20,2010.01.29,Fri,-23.200000000000003,67.2,-90.4,6,1,5,0.16666666666666666,-3.866666666666667,67.2,-18.080000000000002,67.2,88,2010-01-29,range,expansion,squeeze,expansion
21,2010.02.01,Mon,-13.899999999999997,13.5,-27.4,3,2,1,0.6666666666666666,-4.633333333333332,6.75,-27.4,8.9,91,2010-02-01,squeeze,range,range,range
